label,options,explain
tops,T-shirt,"T-shirt means a versatile and casual garment with short sleeves, typically made from lightweight, stretchy materials like cotton or synthetic blends. It's comfortable, easy to wear, and suitable for everyday use, suitable for informal occasions."
tops,Blouse,"Blouse means an elegant and often lightweight upper garment, often made of finer fabrics. It's more formal than a T-shirt. The versatility of blouses allows them to be worn in both casual and formal settings."
tops,Tunic,"Tunic means a loose-fitting garment that covers the hips, often with a simple, flowy silhouette."
tops,Bodysuit,Bodysuit means a form-fitting garment that covers the body and fastens at the crotch. It's ideal for a sleek look under clothing and ensures tops stay tucked in.
tops,Corset,Corset means a tightly fitting garment that shapes the torso.
tops,Tank,"Tank means a sleeveless, wide-strapped top that is typically lightweight and breathable in design."
tops,Vest,Vest means a sleeveless garment that covers the upper body.
tops,Sweater,"Sweater means generally made from thicker yarns, like wool or cashmere. These materials make sweaters warmer and thicker, suitable for winter wear. Usually warmer and heavier. They might not be as soft as knitwear but provide better warmth in cold weather."
tops,Sweatshirt,"Sweatshirt are typically loose-fitting and casual, made from heavier cotton or fleece. They are often without embellishments and may have a crew neck or hood, designed for comfort and practicality."
bottoms,pants,"pants means a garment covering the body from the waist to the ankles, with a separate part for each leg."
bottoms,shorts,shorts means short trousers that come above the knee.
bottoms,skirt,"skirt means a type of women's lower body garment."
jumpsuit,Jumpsuit,"Jumpsuit means a one-piece garment combining a top and pants, offering a sleek and unified look."
overcoat,Outerwear,Outerwear means a broad category that includes any type of clothing worn over other garments to protect against the weather or for fashion.
overcoat,Jacket,Jacket means a specific type of outerwear that typically is worn on the upper body.
dresses,Short Dresses,"Short Dresses is a dress with a hemline above the knee, usually revealing most of the leg".
dresses,Long Dresses,"Long Dresses refers to a dress with a skirt length below the knee and above the ankle."
dresses,Midi Dresses,"Midi Dresses refers to a dress with the hem length of a midi dress is around the knee."
dresses,Maxi Dresses,"Maxi Dresses refers to a dress whose hem length exceeds the ankle. In order to better classify dresses, you could focus on the hem length of the dress."
set,Shorts Set,Shorts Set means a coordinated outfit consisting of shorts and a matching top.
set,Pants Set,Pants Set means a set including long pants and a coordinated top.
set,Skirt Set,Skirt Set means an ensemble that includes a skirt and a matching top.
